time,open,high,low,close,volume
1760076000000,121583.89000000,121754.34000000,121550.91000000,121575.42000000,136.11027000
1760076900000,121575.43000000,121679.98000000,121512.18000000,121526.88000000,97.50727000
1760077800000,121526.88000000,121747.58000000,121469.43000000,121662.17000000,337.41755000
1760078700000,121662.17000000,121741.63000000,121265.26000000,121378.18000000,116.83068000
1760079600000,121378.19000000,121378.19000000,121204.25000000,121280.10000000,81.15766000
1760080500000,121280.10000000,121388.61000000,121216.62000000,121313.56000000,142.03854000
1760081400000,121313.56000000,121345.43000000,121096.36000000,121119.39000000,316.75865000
1760082300000,121119.38000000,121129.38000000,120855.41000000,120932.05000000,355.25967000
1760083200000,120932.05000000,121188.00000000,120916.44000000,121159.38000000,160.19676000
1760084100000,121159.38000000,121316.03000000,121159.37000000,121279.89000000,64.03158000
1760085000000,121279.89000000,121344.90000000,121218.66000000,121278.68000000,84.83918000
1760085900000,121278.68000000,121660.43000000,121278.68000000,121631.54000000,124.04548000
1760086800000,121631.54000000,121660.43000000,121507.68000000,121515.80000000,119.19523000
1760087700000,121515.80000000,121777.07000000,121480.67000000,121754.33000000,102.01380000
1760088600000,121754.33000000,121764.38000000,121655.28000000,121694.25000000,78.84703000
1760089500000,121694.25000000,121738.87000000,121276.56000000,121314.73000000,173.29412000
1760090400000,121314.73000000,121406.55000000,121312.31000000,121339.42000000,53.11504000
1760091300000,121339.42000000,121480.02000000,121320.31000000,121334.00000000,43.90519000
1760092200000,121334.00000000,121399.55000000,121228.83000000,121319.01000000,96.96470000
1760093100000,121319.01000000,121543.59000000,121289.02000000,121496.33000000,95.72131000
1760094000000,121496.34000000,121661.62000000,121496.33000000,121534.00000000,110.49782000
1760094900000,121534.01000000,121570.00000000,121424.50000000,121449.81000000,66.21768000
1760095800000,121449.82000000,121571.90000000,121449.81000000,121530.57000000,85.03293000
1760096700000,121530.56000000,121637.98000000,121458.02000000,121554.55000000,95.91909000
1760097600000,121554.55000000,121682.42000000,121462.85000000,121477.75000000,100.77055000
1760098500000,121477.75000000,121568.93000000,121452.73000000,121544.40000000,43.49502000
1760099400000,121544.40000000,121584.77000000,121420.00000000,121475.74000000,82.89730000
1760100300000,121475.74000000,121612.09000000,121475.74000000,121597.21000000,61.16498000
1760101200000,121597.22000000,121927.81000000,121597.21000000,121813.29000000,188.36507000
1760102100000,121813.29000000,122060.99000000,121696.05000000,121975.32000000,290.75692000
1760103000000,121975.31000000,122550.00000000,121791.75000000,122259.02000000,523.41958000
1760103900000,122259.01000000,122308.01000000,121384.60000000,121684.20000000,450.22850000
1760104800000,121684.18000000,122069.76000000,121470.49000000,121678.21000000,296.04502000
1760105700000,121678.20000000,121704.66000000,121148.50000000,121215.01000000,329.33360000
1760106600000,121215.01000000,121453.68000000,121182.13000000,121348.69000000,186.55866000
1760107500000,121348.69000000,121407.45000000,120479.20000000,120493.17000000,523.86760000
1760108400000,120493.16000000,120626.55000000,119931.00000000,120424.29000000,1030.93837000
1760109300000,120424.29000000,120497.96000000,119250.00000000,119252.86000000,1328.20267000
1760110200000,119252.86000000,119576.25000000,118500.00000000,119570.69000000,1723.74420000
1760111100000,119570.70000000,119600.00000000,118860.60000000,119018.98000000,607.80449000
1760112000000,119018.99000000,119243.69000000,118666.22000000,118942.59000000,494.38777000
1760112900000,118942.60000000,119248.84000000,118576.00000000,119068.86000000,433.58328000
1760113800000,119068.87000000,119456.28000000,118828.98000000,118882.69000000,362.35795000
1760114700000,118882.69000000,118897.27000000,118205.60000000,118205.61000000,784.11386000
1760115600000,118205.61000000,118427.51000000,117659.92000000,117906.50000000,1035.56070000
1760116500000,117906.50000000,118256.19000000,117735.55000000,118150.75000000,399.87181000
1760117400000,118150.74000000,118190.30000000,117786.72000000,117846.11000000,296.81016000
1760118300000,117846.11000000,117926.00000000,117579.79000000,117623.80000000,465.69252000
1760119200000,117623.80000000,117800.75000000,117515.00000000,117653.19000000,437.24279000
1760120100000,117653.20000000,117851.50000000,117527.34000000,117612.26000000,337.99507000
1760121000000,117612.26000000,117699.40000000,117414.45000000,117462.63000000,368.19624000
1760121900000,117462.62000000,117643.06000000,117237.00000000,117237.70000000,305.31910000
1760122800000,117237.70000000,117341.92000000,116720.80000000,116827.40000000,709.86610000
1760123700000,116827.40000000,116937.21000000,115952.47000000,116040.38000000,1034.66522000
1760124600000,116040.38000000,116990.00000000,116000.00000000,116923.96000000,616.31996000
1760125500000,116923.96000000,117104.42000000,116574.59000000,116661.50000000,372.56174000
1760126400000,116661.50000000,116899.43000000,116573.38000000,116780.01000000,276.25773000
1760127300000,116780.01000000,117165.32000000,116684.75000000,117065.91000000,171.22053000
1760128200000,117065.91000000,117214.64000000,116791.12000000,117034.61000000,267.93451000
1760129100000,117034.61000000,117098.11000000,113039.00000000,114266.82000000,3739.14759000
1760130000000,114266.82000000,115112.69000000,109880.00000000,112209.36000000,4623.85638000
1760130900000,112209.36000000,112510.92000000,102000.00000000,108432.09000000,10067.89134000
1760131800000,108432.09000000,112660.64000000,107796.51000000,110809.05000000,4338.40868000
1760132700000,110809.05000000,113973.00000000,110271.15000000,113451.86000000,3902.47394000
1760133600000,113451.87000000,113798.23000000,110879.69000000,113688.22000000,2925.04322000
1760134500000,113688.22000000,113799.00000000,112000.00000000,112360.83000000,2307.23021000
1760135400000,112360.83000000,113306.82000000,112054.45000000,113172.34000000,1944.82565000
1760136300000,113172.35000000,114109.03000000,113168.57000000,113700.00000000,2193.07540000
1760137200000,113700.00000000,113851.84000000,112770.00000000,113050.99000000,1097.46572000
1760138100000,113050.99000000,113850.00000000,112820.01000000,113771.80000000,1241.08502000
1760139000000,113771.79000000,114807.41000000,113569.50000000,114617.32000000,1343.97480000
1760139900000,114617.33000000,114637.73000000,112652.76000000,112774.50000000,1294.84357000
1760140800000,112774.49000000,113000.00000000,112228.17000000,112344.76000000,1254.10261000
1760141700000,112344.76000000,112460.00000000,111620.30000000,112451.53000000,1113.88002000
1760142600000,112451.53000000,112680.00000000,112092.90000000,112640.04000000,640.11785000
1760143500000,112640.04000000,113178.66000000,112514.57000000,112514.58000000,612.22830000
1760144400000,112514.57000000,112530.01000000,111950.00000000,111951.38000000,534.79022000
1760145300000,111951.37000000,112021.86000000,111166.20000000,111260.89000000,912.59766000
1760146200000,111260.90000000,111960.88000000,111163.65000000,111245.34000000,651.96673000
1760147100000,111245.34000000,111608.69000000,111019.43000000,111095.37000000,697.07142000
1760148000000,111095.38000000,112013.98000000,111082.00000000,111949.01000000,864.07244000
1760148900000,111949.01000000,112434.59000000,111877.00000000,112180.24000000,675.27145000
1760149800000,112180.23000000,113232.21000000,112168.25000000,113172.58000000,744.60623000
1760150700000,113172.58000000,113297.92000000,112972.97000000,113196.48000000,642.60867000
1760151600000,113196.48000000,113322.39000000,112113.33000000,112360.39000000,739.56954000
1760152500000,112360.40000000,112418.65000000,111863.04000000,111880.26000000,541.41450000
1760153400000,111880.25000000,112187.67000000,111800.00000000,111880.48000000,475.51136000
1760154300000,111880.49000000,112401.85000000,111834.48000000,112300.01000000,433.71769000
1760155200000,112300.00000000,112512.82000000,112065.62000000,112436.59000000,324.77170000
1760156100000,112436.59000000,112591.61000000,112077.43000000,112274.66000000,283.85062000
1760157000000,112274.67000000,112294.94000000,111700.00000000,112110.48000000,359.26178000
1760157900000,112110.48000000,112991.16000000,111951.59000000,112945.79000000,478.85527000
1760158800000,112945.79000000,112945.79000000,112572.39000000,112660.40000000,250.12483000
1760159700000,112660.40000000,112682.39000000,111992.85000000,112016.36000000,446.70700000
