variant,horizon_bars,y_true,y_pred
raw,4,112350.0,112197.42
thetaBiquatBasis,4,112350.0,119485.29813923416
raw,4,112337.21,112027.74
thetaBiquatBasis,4,112337.21,119525.29230180511
raw,4,112280.0,112114.64
thetaBiquatBasis,4,112280.0,119596.17626534385
raw,4,112107.25,112034.0
thetaBiquatBasis,4,112107.25,119373.37864635154
raw,4,112466.66,112350.0
thetaBiquatBasis,4,112466.66,119250.93270883476
raw,4,112291.81,112337.21
thetaBiquatBasis,4,112291.81,119065.93170671267
raw,4,112380.14,112280.0
thetaBiquatBasis,4,112380.14,119177.4727000708
raw,4,112499.99,112107.25
thetaBiquatBasis,4,112499.99,119238.88206051779
raw,4,112345.98,112466.66
thetaBiquatBasis,4,112345.98,119208.45458372222
raw,4,112180.95,112291.81
thetaBiquatBasis,4,112180.95,119080.89235658024
raw,4,112267.86,112380.14
thetaBiquatBasis,4,112267.86,119054.79181942952
raw,4,112205.97,112499.99
thetaBiquatBasis,4,112205.97,118996.17324330824
raw,4,112039.41,112345.98
thetaBiquatBasis,4,112039.41,118939.49061947173
raw,4,112070.37,112180.95
thetaBiquatBasis,4,112070.37,118991.32285722528
raw,4,111991.97,112267.86
thetaBiquatBasis,4,111991.97,119071.19538784225
raw,4,112282.58,112205.97
thetaBiquatBasis,4,112282.58,118869.72721402094
raw,4,112204.91,112039.41
thetaBiquatBasis,4,112204.91,118727.79229022088
raw,4,111939.85,112070.37
thetaBiquatBasis,4,111939.85,118551.03698309851
raw,4,111793.2,111991.97
thetaBiquatBasis,4,111793.2,118651.7494318707
raw,4,112059.61,112282.58
thetaBiquatBasis,4,112059.61,118719.96876087826
raw,4,111806.29,112204.91
thetaBiquatBasis,4,111806.29,118691.56366571657
raw,4,111516.51,111939.85
thetaBiquatBasis,4,111516.51,118559.7033713726
raw,4,111846.18,111793.2
thetaBiquatBasis,4,111846.18,118524.6261948027
raw,4,112056.94,112059.61
thetaBiquatBasis,4,112056.94,118475.55662322947
raw,4,112122.69,111806.29
thetaBiquatBasis,4,112122.69,118418.82302947756
raw,4,112049.98,111516.51
thetaBiquatBasis,4,112049.98,118446.61676094946
raw,4,112005.57,111846.18
thetaBiquatBasis,4,112005.57,118534.07070778369
raw,4,111895.99,112056.94
thetaBiquatBasis,4,111895.99,118330.96443812977
raw,4,111894.49,112122.69
thetaBiquatBasis,4,111894.49,118211.79372273543
raw,4,111918.82,112049.98
thetaBiquatBasis,4,111918.82,118034.02129808327
raw,4,111955.27,112005.57
thetaBiquatBasis,4,111955.27,118126.79378706118
raw,4,111570.5,111895.99
thetaBiquatBasis,4,111570.5,118193.97167908488
raw,4,111391.55,111894.49
thetaBiquatBasis,4,111391.55,118188.41556609058
raw,4,111060.48,111918.82
thetaBiquatBasis,4,111060.48,118049.26624970326
raw,4,111178.31,111955.27
thetaBiquatBasis,4,111178.31,118009.25005133628
raw,4,110869.93,111570.5
thetaBiquatBasis,4,110869.93,117965.93571237187
raw,4,110619.08,111391.55
thetaBiquatBasis,4,110619.08,117932.62968740622
raw,4,110348.05,111060.48
thetaBiquatBasis,4,110348.05,117976.51577282714
raw,4,110244.98,111178.31
thetaBiquatBasis,4,110244.98,118075.52492658235
raw,4,110039.99,110869.93
thetaBiquatBasis,4,110039.99,117873.23913131832
raw,4,110802.96,110619.08
thetaBiquatBasis,4,110802.96,117739.29131134567
raw,4,110696.53,110348.05
thetaBiquatBasis,4,110696.53,117554.28128036682
raw,4,110893.54,110244.98
thetaBiquatBasis,4,110893.54,117651.60707872137
raw,4,110948.38,110039.99
thetaBiquatBasis,4,110948.38,117713.84164154659
raw,4,110928.87,110802.96
thetaBiquatBasis,4,110928.87,117695.8022271049
raw,4,111100.92,110696.53
thetaBiquatBasis,4,111100.92,117532.85154052908
raw,4,111043.27,110893.54
thetaBiquatBasis,4,111043.27,117486.94056800519
raw,4,110898.54,110948.38
thetaBiquatBasis,4,110898.54,117443.72719501778
raw,4,110949.88,110928.87
thetaBiquatBasis,4,110949.88,117406.62735592148
raw,4,110844.81,111100.92
thetaBiquatBasis,4,110844.81,117434.08014864428
raw,4,110644.4,111043.27
thetaBiquatBasis,4,110644.4,117522.84742429998
raw,4,110328.7,110898.54
thetaBiquatBasis,4,110328.7,117308.67116793085
raw,4,109924.92,110949.88
thetaBiquatBasis,4,109924.92,117172.3600387579
raw,4,109742.33,110844.81
thetaBiquatBasis,4,109742.33,117016.49896733403
raw,4,109641.54,110644.4
thetaBiquatBasis,4,109641.54,117108.00432079137
raw,4,110030.46,110328.7
thetaBiquatBasis,4,110030.46,117186.99551051423
raw,4,109963.63,109924.92
thetaBiquatBasis,4,109963.63,117170.54942648241
raw,4,110007.18,109742.33
thetaBiquatBasis,4,110007.18,117011.54158004606
raw,4,109978.56,109641.54
thetaBiquatBasis,4,109978.56,116980.45675744409
raw,4,110140.5,110030.46
thetaBiquatBasis,4,110140.5,116926.45007395366
raw,4,110447.44,109963.63
thetaBiquatBasis,4,110447.44,116890.64356475466
raw,4,110243.85,110007.18
thetaBiquatBasis,4,110243.85,116946.931988242
raw,4,110119.02,109978.56
thetaBiquatBasis,4,110119.02,117023.54740468196
raw,4,110708.3,110140.5
thetaBiquatBasis,4,110708.3,116803.08972565157
raw,4,110960.34,110447.44
thetaBiquatBasis,4,110960.34,116635.87629522305
raw,4,110954.7,110243.85
thetaBiquatBasis,4,110954.7,116455.78812354672
raw,4,110676.0,110119.02
thetaBiquatBasis,4,110676.0,116539.92111265403
raw,4,111075.16,110708.3
